,C5,C8,C9,D1,D10,D11,D4,D5,D7,D9,E5,E6
2.0,380,368,380,429,390,411,420,420,417,420,470,541
4.0,380,368,380,429,390,411,420,420,417,420,470,541
7.0,380,368,380,429,390,411,420,420,417,420,449,541
