,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10844955.333333334,11651.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10383834.0,11082.0,937.0,11016732.0,12027.0,916.0,11134300.0,11845.0,940.0,,-0.01662763033545933,-0.01662681108454067
2020-11-15,11028330.333333334,11848.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10560927.0,11271.0,937.0,11201764.0,12229.0,916.0,11322300.0,12045.0,940.0,,0.011852423829909364,0.01172686647880905
2020-10-15,10899149.0,11711.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10358535.0,11055.0,937.0,11236572.0,12267.0,916.0,11102340.0,11811.0,940.0,,-0.008522791019462406,-0.008522647100324465
2020-9-15,10992838.666666666,11811.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10449424.0,11152.0,937.0,11332752.0,12372.0,916.0,11196340.0,11911.0,940.0,,0.01254709146883326,0.012602160370349225
2020-8-15,10856619.666666666,11664.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10261087.0,10951.0,937.0,11131232.0,12152.0,916.0,11177540.0,11891.0,940.0,,-0.0007043576719484301,-0.0007138981695651303
2020-7-15,10864272.0,11673.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9935948.0,10604.0,937.0,11191688.0,12218.0,916.0,11465180.0,12197.0,940.0,,-0.0030463646775004127,-0.003046176621306129
2020-6-15,10897469.666666666,11708.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9966869.0,10637.0,937.0,11225580.0,12255.0,916.0,11499960.0,12234.0,940.0,,-0.004815861426999968,-0.004816409791477905
2020-5-15,10950204.333333334,11765.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10015593.0,10689.0,937.0,11280540.0,12315.0,916.0,11554480.0,12292.0,940.0,,0.016589880233092824,0.01658986175115218
2020-4-15,10771506.333333334,11573.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9852555.0,10515.0,937.0,11096424.0,12114.0,916.0,11365540.0,12091.0,940.0,,-0.01634720431760439,-0.016346998328469753
2020-3-15,10950516.666666666,11765.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10016530.0,10690.0,937.0,11280540.0,12315.0,916.0,11554480.0,12292.0,940.0,,0.023190539425517853,0.02319042235556701
2020-2-15,10702324.0,11499.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9789776.0,10448.0,937.0,11024976.0,12036.0,916.0,11292220.0,12013.0,940.0,,0.026727229353033843,0.02672698592220013
2020-1-15,10423726.666666666,11199.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9534912.0,10176.0,937.0,10738268.0,11723.0,916.0,10998000.0,11700.0,940.0,,-0.038957803664736335,-0.03895769571808583
2019-12-15,10846273.666666666,11653.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9921893.0,10589.0,937.0,11173368.0,12198.0,916.0,11443560.0,12174.0,940.0,,0.009674766202484752,0.009674810835788028
