,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7413836.166666667,15046.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9496492.0,12938.0,734.0,5063700.0,16879.0,300.0,7628226.0,15226.0,501.0,7572615.0,15115.0,501.0,5087400.0,16958.0,300.0,9634584.0,13162.0,732.0,,-0.01948385762848448,-0.01855737348480735
2020-11-15,7561156.666666667,15330.833333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9657238.0,13157.0,734.0,5149500.0,17165.0,300.0,7757484.0,15484.0,501.0,7700369.999999999,15370.0,501.0,5173500.0,17245.0,300.0,9928848.0,13564.0,732.0,,0.01577915717915257,0.01706065765905218
2020-10-15,7443701.333333333,15073.666666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9568424.0,13036.0,734.0,5050200.0,16834.0,300.0,7607184.000000001,15184.0,501.0,7551072.0,15072.0,501.0,5073600.0,16912.0,300.0,9811728.0,13404.0,732.0,,-0.00849482125106582,-0.00849622329171107
2020-9-15,7507476.0,15202.833333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9651366.0,13149.0,734.0,5094000.0,16980.0,300.0,7672313.999999999,15314.0,501.0,7615200.000000001,15200.0,501.0,5116800.0,17056.0,300.0,9895176.0,13518.0,732.0,,0.015065677967677216,0.016051060417038077
2020-8-15,7396049.5,14962.666666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9611730.0,13095.0,734.0,5003700.0,16679.0,300.0,7535541.0,15041.0,501.0,7479930.0,14930.0,501.0,5025900.0,16753.0,300.0,9719496.0,13278.0,732.0,,-0.005450844138565336,-0.005461454098306229
2020-7-15,7436585.166666667,15044.833333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9663844.0,13166.0,734.0,5031600.0,16772.0,300.0,7577124.000000001,15124.0,501.0,7520511.0,15011.0,501.0,5053500.0,16845.0,300.0,9772932.0,13351.0,732.0,,-0.003144998058769999,-0.0026406505502275524
2020-6-15,7460047.0,15084.666666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9693204.0,13206.0,734.0,5040600.0,16802.0,300.0,7600671.0,15171.0,501.0,7580631.000000001,15131.0,501.0,5041500.0,16805.0,300.0,9803676.0,13393.0,732.0,,-0.004797419853512674,-0.0047941590429275704
2020-5-15,7496008.5,15157.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9739446.0,13269.0,734.0,5064900.0,16883.0,300.0,7637745.0,15245.0,501.0,7617204.000000001,15204.0,501.0,5065500.0,16885.0,300.0,9851256.0,13458.0,732.0,,0.01656945762387685,0.01656569269634045
2020-4-15,7373828.166666667,14910.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9580168.0,13052.0,734.0,4982100.0,16607.0,300.0,7513497.0,14997.0,501.0,7492955.999999999,14956.0,501.0,4983300.0,16611.0,300.0,9690948.0,13239.0,732.0,,-0.016388351484797004,-0.016382267569707065
2020-3-15,7496686.5,15158.666666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9739446.0,13269.0,734.0,5064600.0,16882.0,300.0,7638746.999999999,15247.0,501.0,7618206.0,15206.0,501.0,5066400.0,16888.0,300.0,9852720.0,13460.0,732.0,,0.023122530768088234,0.023116640606544614
2020-2-15,7327261.666666667,14816.166666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9518512.0,12968.0,734.0,4950000.0,16500.0,300.0,7466403.000000001,14903.0,501.0,7446362.999999999,14863.0,501.0,4952100.0,16507.0,300.0,9630192.0,13156.0,732.0,,0.026726610861273592,0.026725800676807188
