,lumpSum_avg,npsf_avg,final_address,lumpSum_11,npsf_11,nfa_11,lumpSum_15,npsf_15,nfa_15,nfa_avg,lumpSum_change,npsf_change
2020-12-15,22177911.0,9093.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22035975.0,9087.0,2425.0,22319847.0,9099.0,2453.0,,-0.016547634662963828,-0.0165476963011032
2020-11-15,22551078.0,9246.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22407000.0,9240.0,2425.0,22695156.0,9252.0,2453.0,,0.019685938631089472,0.01968569065343262
2020-10-15,22115709.5,9067.5,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21975350.0,9062.0,2425.0,22256069.0,9073.0,2453.0,,-0.00858326857839209,-0.008582987098184947
2020-9-15,22307178.0,9146.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22164500.0,9140.0,2425.0,22449856.0,9152.0,2453.0,,0.018031987864217225,0.018032056990204826
2020-8-15,21912060.0,8984.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21771650.0,8978.0,2425.0,22052470.0,8990.0,2453.0,,-0.005424533729346814,-0.005424554411601945
2020-7-15,22031571.0,9033.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21890475.0,9027.0,2425.0,22172667.0,9039.0,2453.0,,-0.0030901549027702035,-0.003090166648272774
2020-6-15,22099863.0,9061.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21958375.0,9055.0,2425.0,22241351.0,9067.0,2453.0,,-0.004832491330843958,-0.004832509610104285
2020-5-15,22207179.0,9105.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22065075.0,9099.0,2425.0,22349283.0,9111.0,2453.0,,0.01652332599430184,0.01652338952774368
2020-4-15,21846207.0,8957.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21706175.0,8951.0,2425.0,21986239.0,8963.0,2453.0,,-0.01636277580280765,-0.016362837689435583
2020-3-15,22209618.0,9106.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22067500.0,9100.0,2425.0,22351736.0,9112.0,2453.0,,0.023145977847702337,0.023146067415730442
2020-2-15,21707184.0,8900.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21567950.0,8894.0,2425.0,21846418.0,8906.0,2453.0,,0.026706122963369383,0.026705889138836092
2020-1-15,21142548.5,8668.5,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21007775.0,8663.0,2425.0,21277322.0,8674.0,2453.0,,-0.038969127263695835,-0.03896895787139687
2019-12-15,21999864.0,9020.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21858950.0,9014.0,2425.0,22140778.0,9026.0,2453.0,,0.009626110194028481,0.009626147302440158
2019-11-15,21790110.0,8934.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21650400.0,8928.0,2425.0,21929820.0,8940.0,2453.0,,0.00983380369847553,0.009833841980332325
2019-10-15,21577917.0,8847.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",21439425.0,8841.0,2425.0,21716409.0,8853.0,2453.0,,-0.026196928758255522,-0.02619702806824431
2019-9-15,22158399.0,9085.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22016575.0,9079.0,2425.0,22300223.0,9091.0,2453.0,,-0.024639213133336724,-0.024639003703902485
2019-8-15,22718156.5,9314.5,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22571900.0,9308.0,2425.0,22864413.0,9321.0,2453.0,,-0.008989979822672467,-0.008990318118948792
2019-7-15,22924245.0,9399.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22778025.0,9393.0,2425.0,23070465.0,9405.0,2453.0,,0.010645121868638308,0.010645161290322669
2019-6-15,22682784.0,9300.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22537950.0,9294.0,2425.0,22827618.0,9306.0,2453.0,,-0.02418571613772702,-0.024185509679450212
2019-5-15,23244980.5,9530.5,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",23095700.0,9524.0,2425.0,23394261.0,9537.0,2453.0,,0.010175379760748893,0.010175420001059976
