,lumpSum_avg,npsf_avg,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_21,npsf_21,nfa_21,lumpSum_23,npsf_23,nfa_23,lumpSum_26,npsf_26,nfa_26,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2658094.75,6235.5,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",2829573.9999999995,6274.0,451.0,2462724.0,6219.0,396.0,2449176.0,6232.0,393.0,2890905.0,6217.0,465.0,,-0.07369821864020054,-0.07399294598106554
2022-11-15,2869577.5,6733.75,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3066349.0,6799.0,451.0,2668644.0,6739.0,396.0,2654322.0,6754.0,393.0,3088995.0,6643.0,465.0,,-0.10022055681031083,-0.10021713713044933
2022-10-15,3189201.0,7483.75,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3408207.0,7557.0,451.0,2965644.0,7489.0,396.0,2949858.0,7506.0,393.0,3433095.0,7383.0,465.0,,0.03238887628202858,0.032134606764817386
2022-9-15,3089147.0,7250.75,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3291398.0,7298.0,451.0,2863476.0,7231.0,396.0,2885799.0,7343.0,393.0,3315915.0,7131.0,465.0,,-0.07640232021572113,-0.0763964078721101
2022-8-15,3344689.0,7850.5,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3564253.0,7903.0,451.0,3099888.0,7828.0,396.0,3124350.0,7950.0,393.0,3590265.0,7721.0,465.0,,0.03718474753211587,0.03719117452767873
2022-7-15,3224776.5,7569.0,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3436620.0,7620.0,451.0,2988216.0,7546.0,396.0,3012345.0,7665.0,393.0,3461925.0,7445.0,465.0,,0.02792549143423706,0.027698574338085535
2022-6-15,3137169.5,7365.0,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3333341.0,7391.0,451.0,2935152.0,7412.0,396.0,2921955.0,7435.0,393.0,3358230.0,7222.0,465.0,,-0.0980962147386748,-0.09808963997060982
2022-5-15,3478386.0,8166.0,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3696396.0,8196.0,451.0,3253536.0,8216.0,396.0,3239892.0,8244.0,393.0,3723720.0,8008.0,465.0,,0.05204416976106385,0.05208232679485936
2022-4-15,3306311.75,7761.75,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3518702.0,7802.0,451.0,3090384.0,7804.0,396.0,3077976.0,7832.0,393.0,3538185.0,7609.0,465.0,,0.005699567523042903,0.005701143467979675
2022-3-15,3287574.0,7717.75,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3498858.0,7758.0,451.0,3072564.0,7759.0,396.0,3060684.0,7788.0,393.0,3518190.0,7566.0,465.0,,-0.046167085134816044,-0.04616097636335548
2022-2-15,3446698.0,8091.25,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3668434.0,8134.0,451.0,3220668.0,8133.0,396.0,3208845.0,8165.0,393.0,3688845.0,7933.0,465.0,,0.0899456275974253,0.08995083181787566
2022-1-15,3162266.0,7423.5,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3365813.0,7463.0,451.0,2954160.0,7460.0,396.0,2944356.0,7492.0,393.0,3384735.0,7279.0,465.0,,-0.0881693071224725,-0.08816213726393363
2021-12-15,3468040.75,8141.25,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3691435.0,8185.0,451.0,3239280.0,8180.0,396.0,3228888.0,8216.0,393.0,3712560.0,7984.0,465.0,,-0.024654876931973768,-0.02464957469749607
2021-11-15,3555706.25,8347.0,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3785243.0,8393.0,451.0,3320460.0,8385.0,396.0,3310632.0,8424.0,393.0,3806489.9999999995,8186.0,465.0,,0.016244100506441983,0.016253728617519947
2021-10-15,3498870.25,8213.5,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3725260.0,8260.0,451.0,3266604.0,8249.0,396.0,3257577.0,8289.0,393.0,3746040.0,8056.0,465.0,,0.016894176960534635,0.016899839049151932
2021-9-15,3440741.75,8077.0,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3663473.0,8123.0,451.0,3211956.0,8111.0,396.0,3203343.0,8151.0,393.0,3684195.0,7923.0,465.0,,-0.01614764154376047,-0.016139837992569572
2021-8-15,3497213.5,8209.5,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3723907.0,8257.0,451.0,3263832.0,8242.0,396.0,3256005.0,8285.0,393.0,3745110.0,8054.0,465.0,,0.00819057991779304,0.008197476282582716
2021-7-15,3468802.0,8142.75,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3694141.0,8191.0,451.0,3236508.0,8173.0,396.0,3229674.0,8218.0,393.0,3714885.0,7989.0,465.0,,-0.010306637001751273,-0.008794887401095575
2021-6-15,3504926.0,8215.0,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",3796067.0,8417.0,451.0,3202056.0,8086.0,396.0,3189981.0,8117.0,393.0,3831599.9999999995,8240.0,465.0,,,
2021-5-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2021-4-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2021-3-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2021-2-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2021-1-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-12-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-11-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-10-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-9-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-8-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-7-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-6-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-5-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-4-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-3-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2020-2-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
