,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_15,npsf_15,nfa_15,lumpSum_17,npsf_17,nfa_17,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4819866.5,10209.5,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",4919840.0,10144.0,485.0,4593910.0,10370.0,443.0,4914990.0,10134.0,485.0,4597011.0,10377.0,443.0,4942812.0,10108.0,489.0,4950636.0,10124.0,489.0,,-0.0172464767208399,-0.017246358210870727
2022-11-15,4904451.0,10388.666666666666,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5006170.0,10322.0,485.0,4674536.0,10552.0,443.0,5001320.0,10312.0,485.0,4677637.0,10559.0,443.0,5029365.0,10285.0,489.0,5037678.0,10302.0,489.0,,-0.02821721865572102,-0.028218639892738095
2022-10-15,5046859.333333333,10690.333333333334,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5151670.000000001,10622.0,485.0,4810537.0,10859.0,443.0,5146335.0,10611.0,485.0,4813638.0,10866.0,443.0,5175087.0,10583.0,489.0,5183889.000000001,10601.0,489.0,,-0.061511715500389585,-0.06151054926403876
2022-9-15,5377647.666666667,11391.0,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5489230.0,11318.0,485.0,5125953.0,11571.0,443.0,5483895.0,11307.0,485.0,5128611.0,11577.0,443.0,5514453.0,11277.0,489.0,5523744.0,11296.0,489.0,,-0.012498007222752072,-0.012498013321581736
2022-8-15,5445708.166666667,11535.166666666666,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5558585.0,11461.0,485.0,5190631.0,11717.0,443.0,5553250.0,11450.0,485.0,5193732.0,11724.0,443.0,5584380.000000001,11420.0,489.0,5593671.0,11439.0,489.0,,0.013992109330816183,0.013991443975621243
2022-7-15,5370562.666666667,11376.0,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5481955.0,11303.0,485.0,5119308.0,11556.0,443.0,5476620.0,11292.0,485.0,5121966.0,11562.0,443.0,5507118.0,11262.0,489.0,5516409.0,11281.0,489.0,,-0.011269063064176521,-0.01126980907958397
2022-6-15,5431773.666666667,11505.666666666666,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5544520.0,11432.0,485.0,5177784.0,11688.0,443.0,5539185.0,11421.0,485.0,5180442.0,11694.0,443.0,5569710.0,11390.0,489.0,5579001.0,11409.0,489.0,,-0.03953988176818546,-0.03954031943903402
2022-5-15,5655387.0,11979.333333333334,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5772470.000000001,11902.0,485.0,5390867.0,12169.0,443.0,5767135.0,11891.0,485.0,5393968.0,12176.0,443.0,5799050.999999999,11859.0,489.0,5808831.0,11879.0,489.0,,0.007881132698891902,0.00788064054743809
2022-4-15,5611164.666666667,11885.666666666666,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5727365.0,11809.0,485.0,5348782.0,12074.0,443.0,5722030.0,11798.0,485.0,5351883.0,12081.0,443.0,5753574.0,11766.0,489.0,5763354.0,11786.0,489.0,,-0.008356500015301527,-0.008357088229159482
2022-3-15,5658449.5,11985.833333333334,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5775865.0,11909.0,485.0,5393968.0,12176.0,443.0,5770045.0,11897.0,485.0,5397069.0,12183.0,443.0,5801985.0,11865.0,489.0,5811765.0,11885.0,489.0,,-0.013323291427800976,-0.01332217435447125
2022-2-15,5734856.666666667,12147.666666666666,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5853950.0,12070.0,485.0,5466620.0,12340.0,443.0,5848130.0,12058.0,485.0,5469721.0,12347.0,443.0,5880225.0,12025.0,489.0,5890494.0,12046.0,489.0,,-0.002490386590584537,-0.00249083045929821
2022-1-15,5749174.333333333,12178.0,"CHING NGA COURT(Block A),NGA YING CHAU ST|青雅苑A座,牙鷹洲街",5868500.0,12100.0,485.0,5480353.0,12371.0,443.0,5862680.0,12088.0,485.0,5483454.0,12378.0,443.0,5894895.0,12055.0,489.0,5905164.0,12076.0,489.0,,-0.01187280718841166,-0.011873529332215416
