,A,B,C,D,E,F,G,H,J,K,L,M
7.0,8570,8894,9121,8292,8311,8986,8251,8285,9853,8329,8372,7931
19.0,8685,9201,9500,8271,8761,9482,8120,8264,9790,8322,8241,8217
31.0,9109,8784,9885,9149,9275,9908,9109,9142,10451,9154,9149,8640
