,A,B,C,D,E,F,G,H,J,K
5.0,8384,8369,8369,8384,9956,8593,8501,8411,9077,8761
12.0,8656,8640,8640,8656,10271,8875,8779,8684,9374,9052
18.0,8896,8879,8879,8896,10507,9123,9024,8924,9609,9307
