,1,2,3,4,5,6,7,8,B1,B2,B3,B6,B7,B8
4.0,10807,10980,9822,9822,11043,11043,9822,9822,11157,10834,9809,10841,9757,9559
10.0,11063,11259,10046,10046,10856,11324,10046,10046,11435,10905,10034,11106,9960,9795
15.0,11361,11485,10018,10406,11552,11552,10406,10406,11529,11105,10372,11406,10317,9993
