,D,E,F,G,H,J,K,L
6.0,15097,15704,14768,16671,16118,15929,16096,15025
12.0,17117,16000,15912,17561,17058,17271,17318,16554
19.0,16757,16938,17097,17329,16961,17279,17563,15948
