,A,B,C,D,E,F,G,H
10.0,11546,11611,11829,11969,12063,11700,11502,11846
19.0,12048,12058,12265,12419,12436,12134,11941,12332
28.0,13065,12343,12661,13090,12502,12534,12459,12760
