,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9
2.0,4452000,4381920,4215456,4804800,4864176,4206276,4204800,4222800,4215456,4299300,4222800,4222800
3.0,4468800,4404564,4232592,4238400,4768092,4241160,4167600,4238400,4232592,4232592,4238400,4619400
