,1,2,3,4,5,6,7,8,C2,C3,C4,C6,C7,C8
4.0,9620,9620,9527,9527,9520,9520,9527,9527,9472,9498,9439,9401,9527,9573
10.0,9684,9773,9597,9597,9506,9506,9597,9597,9788,9712,9760,9462,9597,9787
15.0,10006,10006,9683,9683,9820,9820,9683,9683,9884,9549,9960,9640,9683,9775
