,A,B,C,D,E,F,G,J,K
5.0,4292592,4292592,4251744,4319824,3336802,3668236,4265360,3668236,3303184
15.0,4473152,4473152,4480256,4570240,3427312,3821664,4442368,3821664,3443259
24.0,4637136,4637136,4632400,4691008,3604022,3962508,4635360,3962508,3573852
