,A,B,D,E,G,H,J,K
3.0,6898,7161,7424,7424,9414,9852,8633,6898
6.0,6981,7247,7513,7513,9525,9970,8739,6981
9.0,7064,7333,7603,7603,9637,10087,8844,7064
