,9,AW05,AW06,AW08,BW02,BW08,CW01,CW09
11.0,9342,9471,9392,9293,9325,9342,9325,9342
20.0,9654,9781,9710,9607,9636,9654,9636,9654
29.0,9985,10114,10045,9937,9966,9985,9966,9985
