,1,2,3,4,5,6,7,8,A1,A2,A3,A5,A7,A8
4.0,422,422,590,581,412,412,581,581,422,422,590,412,581,581
10.0,422,422,590,581,412,412,581,581,422,422,590,412,581,581
15.0,422,422,590,581,412,412,581,581,422,422,590,412,581,581
