,A1,A2,B10,B12,B13,B13C15,B3,B4,B5,B7,B8,B9,C15,C16
2.0,2894953,2869608,3304476,3304476,,6050304,3346715,3574160,3346715,3257067,3304476,3555319,2898950,3047784
3.0,2906602,2881092,3328175,3317589,,6074544,3360076,3354860,3360076,3284220,3317589,3540234,2909310,2881092
4.0,2917898,2892228,3574675,3330702,,6098784,3373437,3368190,3373437,3297581,3330702,3554026,2920040,2892228
