,1,2,3,4,5,6,7,8,D1,D4,D5,D6,D8
4.0,9447,9447,9266,9266,9434,9434,9266,9266,9426,9321,9447,9404,9321
9.0,9640,9640,9479,9479,9489,9489,9479,9479,9539,9596,9530,9475,9601
14.0,9830,9830,9659,9659,9676,9676,9659,9659,9733,9719,9706,9662,9782
