,A,B,C,D,E,F,G,H,J,K,L,M
10.0,5025636,4969008,5262800,4762116,4527984,5141600,4816905,4850120,4396480,4499713,4518447,4589376
21.0,5346792,5266008,5516800,5067848,4781448,5411200,5055250,5185190,4535872,4721614,4522000,4728768
31.0,5557860,5482620,5700400,5265464,5018802,5612400,5050870,5351630,4872928,4636019,4678655,4792832
