,A,B,C,D,E,F,G,H,J,K,L,M
9.0,5918892,3577308,3396267,3656784,3656088,3422980,3427246,5366448,5318360,5051200,4753920,5287670
16.0,6498096,3846150,3825276,3881360,3882752,3746820,3782955,5792072,5597670,5492800,5336000,5627740
21.0,6911016,4032408,3973053,4174840,4585944,4017200,4032428,6414904,6192250,5876480,5717120,6114750
