,A,B,C,D,E,F,G
6.0,5306362,7082600,6639700,5862464,5676355,7076494,5278080
12.0,5445751,7159600,6937180,6015920,5736715,7286418,5647200
19.0,5598073,7376600,7146220,6189948,5893651,7625526,5491860
