,A,B,C,D,E,F,G,H,J,K,L,M
7.0,8905,9075,9074,8296,8731,9311,8750,8714,9546,8497,8723,8790
19.0,9286,9369,9377,8774,9141,9601,9060,9092,9856,8939,9110,9217
30.0,9485,9755,9813,8935,9063,9922,9117,9152,10218,9115,9204,9580
