,AW08,AW09,AW11,BW06,BW07,BW08,BW09,BW10,BW11,CW02,CW12
9.0,2653056,2770362,2670808,2624328,2653056,2660112,2653056,2664228,2832128,2672880,2635584
20.0,2765952,2903250,2772928,2738554,2765952,2776242,2765952,2780946,2958520,2789208,2743920
29.0,2862090,2881494,2885704,2828385,2862090,2874144,2862090,2877672,3060344,2872976,2838936
