,A,B,C,D,E,F,G,H
9.0,4318240,4389160,5515356,5301318,4295438,4331796,4673340,4502400
22.0,4402162,4529030,5825039,5392827,4499859,4550686,4654440,4754400
34.0,4620832,4734698,6114559,6029254,4657534,4685730,4959360,5090400
