,B,D,E,F,G,H,J
6.0,5290896,5972119,3751752,3787432,4804240,3738718,4734702
12.0,5440344,6193876,3797913,3970069,5058298,4014124,5078460
19.0,5552976,6484956,4219160,4063952,5320728,4149497,5144922
