,A,B,C,D,E,F,G,J,K
5.0,7251,7251,7182,7297,7742,7579,7205,7579,7664
15.0,7556,7556,7568,7720,7952,7896,7504,7896,7989
24.0,7833,7833,7825,7924,8362,8187,7830,8187,8292
