,1,2,3,4,5,6,7,8,B1,B2,B3,B6,B7,B8
4.0,422,422,581,581,412,412,581,581,422,422,581,412,581,581
10.0,422,422,581,581,412,412,581,581,422,422,581,412,581,581
15.0,422,422,581,581,412,412,581,581,422,422,581,412,581,581
