,A,B,C,D,E,F,G,H
7.0,11588,10207,10182,10607,10841,11002,10455,11266
18.0,11988,10523,10568,10528,10682,11529,10963,11312
28.0,12438,11317,10896,11156,11024,11433,11393,11795
