,A,B,C,D,E,F,G,H,J,K
6.0,3871032,3868128,4480848,4375440,3890876,3547130,4359488,4392640,4402112,4472560
16.0,4021072,4018652,4650160,4555980,4045756,3672120,4587408,4163536,4629440,4662592
25.0,3804006,4161916,4823616,4835640,4186600,3804006,4760864,4273056,4802896,4946160
