,A,B,C,D,E,F,G,H,J,K,L,M
7.0,8650,8563,8727,8335,8668,8725,8644,8507,9079,8668,8288,8485
19.0,8869,9025,9118,8677,8798,9143,8801,9079,9519,8798,8584,8987
31.0,9193,9319,9653,9049,8656,9775,8983,9386,9974,8656,8610,9273
