,D,E,F,G,H,J,K,L
6.0,4906525,5072392,4592848,3734304,3594314,3552167,3589408,4777950
12.0,5563025,5168000,4948632,3933664,3803934,3851433,3861914,5264172
19.0,5446025,5470974,5317167,3881696,3782303,3853217,3916549,5071464
