,G,H,J,L,M,N,P,Q,R
3.0,14689,15346,15326,15484,16231,16806,16778,15767,14859
8.0,14987,15943,16023,16150,16837,17972,17500,16467,15444
12.0,15265,16425,16935,16429,17327,18513,17840,16958,15657
