,A,B,C,D,E,F,G,H,J
6.0,5467800,5072848,6853404,6015324,6479278,6052280,6517602,5900976,6574750
17.0,5489640,5278352,6958896,6205248,6733428,6355100,6435630,6237666,7153055
27.0,5589480,5415456,6870390,6547191,6957964,6893584,6847974,6560811,7216755
