,B,C,D,E,F,G,H
6.0,5496891,5597361,5481234,5447661,5484480,5496891,5518341
15.0,5693694,5759295,5677371,5624361,5681283,5693694,5716245
24.0,5846763,5846763,5829922,5824032,5839080,5846763,5914149
