,A,B,C,D,E,F,G,H,J,K,L,M,N
9.0,14567,15510,14320,15009,15188,15166,15983,15571,15597,15085,14898,14284,15603
19.0,15365,16757,15213,14696,16469,15781,15771,15069,16084,15592,14865,14786,15704
28.0,15530,16476,14721,15118,16539,16314,15913,16853,16534,16157,14885,15482,16789
