,A,B,C,D,F,G,H
3.0,3826570,3916305,3259580,3300380,3898470,3256860,3192940
6.0,3873010,3966765,3350020,3326560,3949800,3236460,3230000
8.0,3917300,3996780,3377900,3266040,3991560,3322820,3259240
