,1,2,3,4,5,6,7,8,A1,A2,A3,A5,A7,A8
4.0,4363480,4363480,5052170,5827430,4286036,4286036,5827430,5773978,4218734,4410322,4967210,4300456,5706582,5743185
10.0,4472778,4472778,5164860,5966870,4593800,4393568,5966870,5820458,4326766,4520042,5077540,4408812,5850089,5758872
15.0,4557178,4557178,5988500,5911094,4473084,4473084,5911094,5896569,4407790,4604442,5174890,4587208,5970937,5901798
