,A,B,C,D,E,F,G,H,J,K,L,M,N
9.0,7239799,5490540,6759040,7204320,4495648,5186772,5546101,5636702,4835070,4962965,5795322,6713480,5461050
19.0,7636405,5931978,7180536,6995296,4874824,5397102,5472537,5454978,4986040,5114176,5782485,6919848,5496400
28.0,7718410,5799552,6977754,7196168,4895544,5579388,5521811,6100786,5125540,5299496,5790265,7199130,5926517
