,A,B,C,D,E,F,G,H,J,K,L,M
7.0,3909562,4148539,3957120,4828032,4803840,4035312,4924272,4857231,4026672,4792896,4481280,4170310
19.0,3934896,4022686,3883248,5245632,5121792,3809808,5251015,5215632,3990816,5158656,4843584,4417353
31.0,4141392,4169284,4011984,5037696,4993344,3875040,5115811,5486604,3945024,4939200,4982400,4445373
