,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層10,7.0,低層,10,1903571,4297,443
16.0/F中層10,16.0,中層,10,2022738,4566,443
23.0/F高層10,23.0,高層,10,2106908,4756,443
7.0/F低層12,7.0,低層,12,1836666,4342,423
16.0/F中層12,16.0,中層,12,1985562,4694,423
23.0/F高層12,23.0,高層,12,2044359,4833,423
7.0/F低層26,7.0,低層,26,1850625,4375,423
16.0/F中層26,16.0,中層,26,1989792,4704,423
23.0/F高層26,23.0,高層,26,2048166,4842,423
7.0/F低層30,7.0,低層,30,1610284,4498,358
16.0/F中層30,16.0,中層,30,1672218,4671,358
23.0/F高層30,23.0,高層,30,1718042,4799,358
7.0/F低層4,7.0,低層,4,1922958,4546,423
16.0/F中層4,16.0,中層,4,1994445,4715,423
23.0/F高層4,23.0,高層,4,2054511,4857,423
7.0/F低層5,7.0,低層,5,1836666,4342,423
16.0/F中層5,16.0,中層,5,1985562,4694,423
23.0/F高層5,23.0,高層,5,2044359,4833,423
7.0/F低層7,7.0,低層,7,1904900,4300,443
16.0/F中層7,16.0,中層,7,2048432,4624,443
23.0/F高層7,23.0,高層,7,2109123,4761,443
