,A,B,C,D,E,F,G,H
7.0,7215684,4534475,7336656,7649869,4476773,4624112,4353860,4508483
16.0,7710010,4561700,7361928,8107454,4621554,4791720,4509766,4670925
22.0,7841760,4763825,7542720,8423796,4756101,4920784,4631696,4797492
