,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9
7.0,3995417,3862125,3943170,4638688,4638688,3955875,3981750,4804208,3867536,4056108,4036725,4028250,4783266,3898368,4537649,4153125,3956648,4681386
18.0,4205842,3940125,4034800,5348064,5348064,4124505,4047000,5247952,4096520,4607200,4124505,4204125,5435298,3952512,4651500,4626692,3967552,5134752
28.0,4000290,4015125,3905440,5472640,5472640,4097940,4026375,5486804,4106296,4332540,4097940,4358625,5757352,4028464,4769781,4662575,4045384,5481710
