,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9
7.0,4001619,5021552,3616368,3966179,3877579,3769776,5021552,3828264,3794560,4220904,3745712,5021552,3729528,3789940,4936140,4741504,3794560,3702600
18.0,4287797,5282478,3933712,4253686,4121672,3999136,5030608,3951310,4063675,4483160,4063432,5282478,3992450,4050970,5192642,5066816,4063675,3971132
28.0,4527903,5676414,4151040,4448163,4310390,4158184,5303420,4137936,4211900,4692256,4181872,5676414,4137562,4165315,5582104,5379616,4211900,4184686
