,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9
2.0,7420,7160,6888,8008,7948,6873,7008,7038,6888,7025,7038,7038
3.0,7448,7197,6916,7064,7791,6930,6946,7064,6916,6916,7064,7699
