,9,AW05,AW06,AW08,BW02,BW08,CW01,CW09
11.0,2746548,2718177,2695504,2732142,2760200,2746548,2760200,2746548
20.0,2838276,2807147,2786770,2824458,2852256,2838276,2852256,2838276
29.0,2935590,2902718,2882915,2921478,2949936,2935590,2949936,2935590
