,A,B,C,CD,D,E,F,G,H
7.0,6056808,5895816,7574470,12687445,6001434,5680926,7894797,5593956,6035136
19.0,6399432,6161040,7881820,13314045,6271308,6681078,8303231,5835960,6165168
31.0,6381888,6626472,7920068,13934620,6574590,6174738,8640633,6243600,6153816
