,A,B,C,D,E,F,G,H,J,K,L,M
7.0,9244,9166,9563,8548,8584,9412,8542,8577,9591,8464,8478,9390
18.0,9862,9560,9971,8841,9068,9784,9024,9060,10063,8740,8874,9850
30.0,10052,9769,10204,9010,9100,10255,9144,9092,10067,9059,9046,9946
