,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層1,7.0,低層,1,4401194,10141,434,310,4,NTM
18.0/F中層1,18.0,中層,1,4558736,10504,434,333,5,NTM
29.0/F高層1,29.0,高層,1,4747960,10940,434,284,5,NTM
7.0/F低層2,7.0,低層,2,4258404,10286,414,322,3,NTM
18.0/F中層2,18.0,中層,2,4453398,10757,414,348,4,NTM
29.0/F高層2,29.0,高層,2,4608234,11131,414,348,5,NTM
7.0/F低層3,7.0,低層,3,5275596,9627,548,343,3,NTM
18.0/F中層3,18.0,中層,3,5458080,9960,548,341,4,NTM
29.0/F高層3,29.0,高層,3,5665772,10339,548,338,5,NTM
7.0/F低層4,7.0,低層,4,5418720,9540,568,308,4,NTM
18.0/F中層4,18.0,中層,4,5401680,9510,568,302,4,NTM
29.0/F高層4,29.0,高層,4,5639672,9929,568,303,5,NTM
7.0/F低層5,7.0,低層,5,4305714,9921,434,363,4,NTM
18.0/F中層5,18.0,中層,5,4490164,10346,434,327,4,NTM
29.0/F高層5,29.0,高層,5,4668538,10757,434,330,5,NTM
7.0/F低層6,7.0,低層,6,4259646,10289,414,380,4,NTM
18.0/F中層6,18.0,中層,6,4320504,10436,414,341,4,NTM
29.0/F高層6,29.0,高層,6,4370184,10556,414,334,4,NTM
7.0/F低層7,7.0,低層,7,5119964,9343,548,314,4,NTM
18.0/F中層7,18.0,中層,7,5321080,9710,548,329,4,NTM
29.0/F高層7,29.0,高層,7,5527676,10087,548,310,4,NTM
7.0/F低層8,7.0,低層,8,5484040,9655,568,333,5,NTM
18.0/F中層8,18.0,中層,8,5372144,9458,568,302,5,NTM
29.0/F高層8,29.0,高層,8,5599912,9859,568,253,5,NTM
