,A,A & B,AB,B,C,D
3.0,9520875,15333475,15333475,7326156,7323260,9667125
7.0,9673950,15576432,15576432,7444168,7441996,9826050
11.0,9827025,15819389,15819389,7736859,7561456,9976200
