,1,2,3,4,5,6,7,8,C2,C3,C4,C6,C7,C8
4.0,5175560,5175560,6240185,6240185,5578720,5578720,6240185,6240185,5095936,6221190,6182545,5508986,6240185,6270315
10.0,5209992,5257874,6286035,6286035,5570516,5570516,6286035,6286035,5265944,6361360,6392800,5544732,6286035,6410485
15.0,5383228,5383228,6342365,6342365,5754520,5754520,6342365,6342365,5317592,6254595,6523800,5649040,6342365,6402625
