,6,AW02,AW10,AW11,BW04,BW12,CW04,CW08
10.0,1229221,1257112,1250970,1257112,1229221,1257112,1229221,1250970
20.0,1277150,1306248,1299774,1306248,1277150,1306248,1277150,1299774
30.0,1325079,1355384,1348578,1355384,1325079,1355384,1325079,1348578
