,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U
8.0,4703934,3706440,3259278,3134214,5878050,4846171,3844064,3844064,3959424,3927840,5298664,3362073,6354552,3801704,3777624,5128368,4959348,3660322,3707592
16.0,4917078,3565740,3272148,3039768,5966556,5072244,4001088,4000640,3963456,4104128,5283915,3677729,6418920,3908075,3902688,5259744,5331360,3749076,3782992
22.0,4962018,3739404,3506184,3176658,6177987,5363855,4118688,4118912,4293632,4258688,5371380,3709145,6805575,4054809,4064256,5485872,5494920,3890681,3890408
