,A,B,C,D,E,F,G,H,J,K,L,M
6.0,498,452,459,460,460,460,459,510,556,460,456,478
8.0,498,452,459,460,460,460,459,510,556,460,456,478
10.0,972,1024,1036,1041,1041,1038,1088,1021,1235,1043,1208,933
