,A,B,C,D,E,F,G,H,J,K
15.0,7594280,7248810,7340634,9696870,7300896,5727042,7290885,7162407,10020099,7501024
28.0,7997408,7535445,7765191,10174112,7573240,5955348,7553637,7497126,10239551,7927712
40.0,8079866,7684825,7717857,10507917,7701152,6307632,7457037,7730415,10891958,8281712
