,A,B,C,D,E,F,G,H,J,K
7.0,11964,11838,12171,11887,12016,12044,11887,11887,12044,11985
18.0,12711,12550,12885,12614,12709,12745,12614,12614,12745,12661
29.0,13484,13281,13598,13371,13423,13469,13371,13371,13469,13356
