,A,B,C,D,E,F,G,H,J,K
7.0,7607792,7422496,7016976,7558064,5501284,6038384,6933504,7410064,5616336,5381897
18.0,7986672,7790720,7810848,7909712,5799105,5960944,7391712,7803152,5977400,5306903
28.0,8229984,8119872,8147104,8146512,6042620,6217464,7501824,8098560,6214560,5532316
