,A,B,C,D,E,F,G,H,J,K,L,M
2.0,16650,16236,16502,17002,19081,15891,17191,18738,18563,17032,18196,17103
4.0,17379,15796,16815,16815,16581,16199,17601,17647,17239,15652,15522,16506
6.0,17478,16443,17129,16753,16180,15793,17725,16103,17294,16332,17031,17141
