,A,B,C,D,E,E2,F,G,H,I
5.0,9980,9980,10118,10368,9980,11943,10097,10609,10122,10093
10.0,10358,10222,10350,10621,10222,12250,10348,10908,10373,10345
14.0,10559,10417,10551,11658,11203,12495,11168,11180,10574,10547
