,A,B,C,D,E,F,G,H,J,K,L,M
2.0,414,348,375,375,348,356,287,334,349,375,335,241
4.0,398,348,375,375,348,356,287,334,349,375,335,241
6.0,398,348,375,375,348,356,287,334,349,375,335,241
