,A,B,C,D,E,E2,F,G,H,I
5.0,5678620,5678620,5261360,5391360,5678620,2293056,3927733,4052638,5152098,4228967
10.0,4702532,5816318,4181400,5522920,5816318,2352000,4025372,4166856,5279857,4334555
14.0,4793786,5927273,4262604,3520716,3999471,2399040,4199168,4125420,5382166,4419193
