,A,B,C,D,E,F,G1,G2,H,I,J
4.0,15065,14665,15001,15258,14869,15355,18336,18252,15819,16438,15244
10.0,15526,15058,15403,15705,15268,15858,18864,17115,16341,16961,18278
17.0,16107,15529,15886,16548,15747,16702,18929,17477,16931,18122,18900
