,L,M,N,P,Q,R,S,T,U,V
5.0,14597,14747,14330,14448,14866,16432,16219,16842,14677,14956
12.0,14944,15239,14834,14828,15207,16946,16740,17431,15193,15088
18.0,15413,15267,15331,15424,15666,17643,17208,17745,15271,15463
