,A,B,C,D,E,F,G,H,I,J
3.0,3599535,4240264,4270400,4145420,4649620,4508000,4202910,3702340,4290910,3933644
8.0,3911146,4117176,4113200,4692240,4775840,4910800,5302120,3793920,4170582,4231084
12.0,3236570,3194689,3398376,3112656,4654422,4537430,4054000,3726885,3452332,4346680
